season,n_decisions,go_rate,punt_rate,fg_rate,mean_dqs,mean_odr,total_gap,era
1999,4047,0.11218186310847542,0.6590066716085989,0.22881146528292562,0.009159318233719177,0.6508524833209784,37.06776089186151,Traditional
2000,3872,0.11596074380165289,0.6616735537190083,0.22236570247933884,0.009780269561895838,0.6275826446280992,37.869203743660684,Traditional
2001,3945,0.1158428390367554,0.6522179974651457,0.23193916349809887,0.009483018069290469,0.6339670468948035,37.4105062833509,Traditional
2002,3912,0.12397750511247443,0.6426380368098159,0.2333844580777096,0.009518011701896896,0.6352249488752556,37.234461777820655,Traditional
2003,4008,0.12375249500998003,0.6529441117764471,0.22330339321357284,0.009376503090776405,0.6344810379241517,37.58102438783183,Traditional
2004,3856,0.11773858921161826,0.6701244813278008,0.2121369294605809,0.00943838599192243,0.6408195020746889,36.39441638485289,Traditional
2005,3995,0.1181476846057572,0.6510638297872341,0.23078848560700876,0.00880324775654234,0.6573216520650813,35.168974787386645,Traditional
2006,3963,0.12036336109008328,0.6490032803431743,0.23063335856674236,0.009408003056489141,0.6447136008074691,37.283916112866464,Traditional
2007,3843,0.13635180848295603,0.6302367941712204,0.23341139734582358,0.009118504597260331,0.6487119437939111,35.042413167271455,Traditional
2008,3809,0.1249671829876608,0.626673667629299,0.24835914938304016,0.0086237363056493,0.658703071672355,32.84781158821818,Traditional
2009,3948,0.13880445795339413,0.6403242147923,0.22087132725430597,0.008730476184030452,0.6603343465045592,34.467919974552224,Traditional
2010,3920,0.12168367346938776,0.6479591836734694,0.23035714285714284,0.009045058444488534,0.6558673469387755,35.456629102395055,Traditional
2011,3967,0.10839425258381649,0.6491051172170406,0.24250063019914292,0.0082981593515549,0.6705318880766322,32.91879814761828,Traditional
2012,3937,0.11353822707645415,0.6459232918465837,0.24053848107696216,0.008868177419282893,0.6479552959105919,34.91401449971675,Traditional
2013,4008,0.1157684630738523,0.6439620758483033,0.2402694610778443,0.008413605362756019,0.6798902195608783,33.72173029392612,Traditional
2014,3855,0.11517509727626458,0.6407263294422828,0.24409857328145265,0.008589773114466714,0.6583657587548638,33.11357535626918,Traditional
2015,3965,0.12307692307692308,0.6401008827238336,0.23682219419924339,0.008786594367781488,0.6653215636822194,34.838846668253595,Traditional
2016,3847,0.12321289316350403,0.6272420067585132,0.24954510007798283,0.008392530389278325,0.6781907980244346,32.28606440755372,Traditional
2017,3978,0.12267471091000502,0.6342383107088989,0.24308697838109602,0.008576460436685081,0.6827551533433887,34.117159617133254,Traditional
2018,3732,0.14389067524115756,0.6187031082529475,0.23740621650589497,0.00794661940172876,0.6897106109324759,29.656783607251732,Traditional
2019,3743,0.1560245792145338,0.5965802831952979,0.24739513759016832,0.00753136118689384,0.6916911568260753,28.189884922543644,Analytics
2020,3526,0.18150879183210436,0.5615428247305729,0.25694838343732274,0.007323333281653475,0.6911514463981849,25.822073151110153,Analytics
2021,3912,0.19759713701431492,0.5570040899795501,0.24539877300613497,0.00745870278037249,0.6942740286298569,29.17844527681718,Analytics
2022,3990,0.17919799498746866,0.5719298245614035,0.24887218045112783,0.007658362534194016,0.7157894736842105,30.556866511434123,Analytics
2023,4159,0.18946862226496755,0.5633565761000241,0.2471748016350084,0.007021016073570116,0.725655205578264,29.20040584997811,Analytics
2024,3920,0.1933673469387755,0.5385204081632653,0.2681122448979592,0.0075461113322602205,0.7071428571428572,29.580756422460066,Analytics
2025,3887,0.22022125032158477,0.5217391304347826,0.2580396192436326,0.006624417980462805,0.7306405968613326,25.749112690058922,Analytics
