field_pos_bin,ydstogo_bin,optimal_decision,wrong_call_rate,mean_decision_gap,n,go_pct_actual,go_pct_optimal,punt_pct_actual,fg_pct_actual
red_zone,short_1,go_for_it,0.31387362637362637,0.008395976984249844,2912,0.6565934065934066,0.8887362637362637,0.0,0.3434065934065934
red_zone,short_2_3,go_for_it,0.5485370522286027,0.010907248245883412,3657,0.20836751435602954,0.7514356029532404,0.0,0.7916324856439705
red_zone,medium_4_6,field_goal,0.1550371593724195,0.003040355465686335,4844,0.11540049545829893,0.24483897605284888,0.0,0.8845995045417011
red_zone,long_7plus,field_goal,0.06369107321965897,0.00032236454120393156,5982,0.07756603142761619,0.09010364426613172,0.0,0.9224339685723838
opp_territory,short_1,go_for_it,0.26542387927208166,0.0057536398339862235,2253,0.8069241011984021,0.833555259653795,0.007545494895694629,0.18553040390590325
opp_territory,short_2_3,go_for_it,0.5247718383311604,0.011787673946804815,3068,0.38657105606258146,0.7144719687092569,0.0726857887874837,0.5407431551499348
opp_territory,medium_4_6,go_for_it,0.5292576419213973,0.01064065066234162,4580,0.22641921397379913,0.5072052401746725,0.15,0.6235807860262009
opp_territory,long_7plus,field_goal,0.4184827302631579,0.008084004926902793,9728,0.11955180921052631,0.2563733552631579,0.20662006578947367,0.673828125
midfield,short_1,go_for_it,0.48125,0.015949130448214242,3040,0.49506578947368424,0.9513157894736842,0.5049342105263158,0.0
midfield,short_2_3,go_for_it,0.5089686098654709,0.014650826117003132,4014,0.18385650224215247,0.6858495266567015,0.8161434977578476,0.0
midfield,medium_4_6,go_for_it,0.48435397039030953,0.013511461051146085,5944,0.10262449528936743,0.5869784656796769,0.8973755047106325,0.0
midfield,long_7plus,go_for_it,0.5465706707086018,0.015364012671080366,13195,0.07571049640015157,0.5160287987874195,0.9221674876847291,0.002122015915119363
own_territory,short_1,go_for_it,0.5227049983665468,0.014429430800976768,3061,0.16105847762169226,0.6700424697811173,0.8389415223783078,0.0
own_territory,short_2_3,go_for_it,0.4461878453038674,0.006903826521907421,4525,0.05988950276243094,0.5060773480662983,0.940110497237569,0.0
own_territory,medium_4_6,punt,0.3324862346463363,0.01897712639660246,7083,0.04404913172384583,0.372864605393195,0.9559508682761542,0.0
own_territory,long_7plus,punt,0.1407708607754424,0.002281040766812802,17461,0.03556497336922284,0.15377126166886204,0.9644350266307772,0.0
deep_own,short_1,punt,0.0,0.0,337,0.0,0.0,1.0,0.0
deep_own,short_2_3,punt,0.01721664275466284,0.00012769137944994353,697,0.014347202295552367,0.03156384505021521,0.9856527977044476,0.0
deep_own,medium_4_6,punt,0.006798096532970768,2.833808914442856e-05,1471,0.014276002719238613,0.007477906186267845,0.9857239972807614,0.0
deep_own,long_7plus,punt,0.009620384815392615,7.359696147977324e-06,7692,0.02262090483619345,0.020540821632865313,0.9773790951638065,0.0
